timestamp,p95_ms,recall_at10,tokens_in,tokens_out,est_cost,success,group,params_snapshot,rerank_latency_ms,rerank_model,rerank_hit,candidate_k,qdrant_latency_ms,collection_name,should_rerank_v2,trigger_reason,rerank_budget_ok,rerank_timeout,fallback_used,dispersion,rolling_hit_rate,cache_hit,cache_saved_ms,recall_proxy,profile
2025-10-10T21:55:32.037073,0.0059604644775390625,0.85,0,22,0.0006599999999999999,True,baseline,,0,disabled,0,0,0,,False,,True,False,False,0.0,0.0,1,246.64902687072754,0,balanced
2025-10-10T21:55:32.158769,0.00286102294921875,0.85,1,45,0.0013599999999999999,True,baseline,,0,disabled,0,0,0,,False,,True,False,False,0.0,0.0,1,113.47770690917969,0,balanced
2025-10-10T21:55:32.410468,0.004291534423828125,0.85,0,37,0.0011099999999999999,True,baseline,,0,disabled,0,0,0,,False,,True,False,False,0.0,0.0,1,152.49395370483398,0,balanced
2025-10-10T21:55:33.160952,0.0059604644775390625,0.85,2,52,0.00158,True,baseline,,0,disabled,0,0,0,,False,,True,False,False,0.0,0.0,1,437.06488609313965,0,balanced
2025-10-10T21:55:33.284529,0.0030994415283203125,0.85,2,52,0.00158,True,baseline,,0,disabled,0,0,0,,False,,True,False,False,0.0,0.0,1,437.06488609313965,0,balanced
2025-10-10T21:55:33.534861,0.0019073486328125,0.85,2,52,0.00158,True,baseline,,0,disabled,0,0,0,,False,,True,False,False,0.0,0.0,1,423.4340190887451,0,balanced
2025-10-10T21:55:34.284007,0.0019073486328125,0.85,1,45,0.0013599999999999999,True,baseline,,0,disabled,0,0,0,,False,,True,False,False,0.0,0.0,1,113.47770690917969,0,balanced
2025-10-10T21:55:34.408761,0.011205673217773438,0.85,3,60,0.0018299999999999998,True,baseline,,0,disabled,0,0,0,,False,,True,False,False,0.0,0.0,1,168.05601119995117,0,balanced
2025-10-10T21:55:34.535166,0.0030994415283203125,0.85,0,37,0.0011099999999999999,True,baseline,,0,disabled,0,0,0,,False,,True,False,False,0.0,0.0,1,242.38896369934082,0,balanced
2025-10-10T21:55:35.409592,0.0030994415283203125,0.85,0,37,0.0011099999999999999,True,baseline,,0,disabled,0,0,0,,False,,True,False,False,0.0,0.0,1,152.49395370483398,0,balanced
2025-10-10T21:55:35.534067,0.004291534423828125,0.85,0,37,0.0011099999999999999,True,baseline,,0,disabled,0,0,0,,False,,True,False,False,0.0,0.0,1,160.56108474731445,0,balanced
2025-10-10T21:55:35.659193,0.0030994415283203125,0.85,2,31,0.00095,True,baseline,,0,disabled,0,0,0,,False,,True,False,False,0.0,0.0,1,294.08907890319824,0,balanced
2025-10-10T21:55:36.411210,0.007152557373046875,0.85,0,22,0.0006599999999999999,True,baseline,,0,disabled,0,0,0,,False,,True,False,False,0.0,0.0,1,246.64902687072754,0,balanced
2025-10-10T21:55:36.534435,0.0040531158447265625,0.85,3,60,0.0018299999999999998,True,baseline,,0,disabled,0,0,0,,False,,True,False,False,0.0,0.0,1,171.40793800354004,0,balanced
2025-10-10T21:55:36.737709,0.0030994415283203125,0.85,2,52,0.00158,True,baseline,,0,disabled,0,0,0,,False,,True,False,False,0.0,0.0,1,193.50004196166992,0,balanced
2025-10-10T21:55:37.491889,0.004291534423828125,0.85,0,37,0.0011099999999999999,True,baseline,,0,disabled,0,0,0,,False,,True,False,False,0.0,0.0,1,242.38896369934082,0,balanced
2025-10-10T21:55:37.535616,0.008106231689453125,0.85,0,37,0.0011099999999999999,True,baseline,,0,disabled,0,0,0,,False,,True,False,False,0.0,0.0,1,242.38896369934082,0,balanced
2025-10-10T21:55:37.741922,0.0030994415283203125,0.85,2,52,0.00158,True,baseline,,0,disabled,0,0,0,,False,,True,False,False,0.0,0.0,1,437.06488609313965,0,balanced
2025-10-10T21:55:38.494088,0.0016689300537109375,0.85,2,31,0.00095,True,baseline,,0,disabled,0,0,0,,False,,True,False,False,0.0,0.0,1,294.08907890319824,0,balanced
2025-10-10T21:55:38.614422,0.008821487426757812,0.85,3,60,0.0018299999999999998,True,baseline,,0,disabled,0,0,0,,False,,True,False,False,0.0,0.0,1,168.05601119995117,0,balanced
2025-10-10T21:55:38.742146,0.0030994415283203125,0.85,0,37,0.0011099999999999999,True,baseline,,0,disabled,0,0,0,,False,,True,False,False,0.0,0.0,1,242.38896369934082,0,balanced
2025-10-10T21:55:39.533889,0.0019073486328125,0.85,3,60,0.0018299999999999998,True,baseline,,0,disabled,0,0,0,,False,,True,False,False,0.0,0.0,1,168.05601119995117,0,balanced
2025-10-10T21:55:39.617144,0.00286102294921875,0.85,2,52,0.00158,True,baseline,,0,disabled,0,0,0,,False,,True,False,False,0.0,0.0,1,193.50004196166992,0,balanced
2025-10-10T21:55:39.742497,0.0030994415283203125,0.85,0,37,0.0011099999999999999,True,baseline,,0,disabled,0,0,0,,False,,True,False,False,0.0,0.0,1,152.49395370483398,0,balanced
2025-10-10T21:55:40.612827,0.0021457672119140625,0.85,0,37,0.0011099999999999999,True,baseline,,0,disabled,0,0,0,,False,,True,False,False,0.0,0.0,1,428.4486770629883,0,balanced
2025-10-10T21:55:40.656576,0.0019073486328125,0.85,1,45,0.0013599999999999999,True,baseline,,0,disabled,0,0,0,,False,,True,False,False,0.0,0.0,1,113.47770690917969,0,balanced
2025-10-10T21:55:40.783956,0.00286102294921875,0.85,2,52,0.00158,True,baseline,,0,disabled,0,0,0,,False,,True,False,False,0.0,0.0,1,423.4340190887451,0,balanced
2025-10-10T21:55:41.616973,0.0030994415283203125,0.85,2,52,0.00158,True,baseline,,0,disabled,0,0,0,,False,,True,False,False,0.0,0.0,1,423.4340190887451,0,balanced
2025-10-10T21:55:41.659265,0.003814697265625,0.85,0,37,0.0011099999999999999,True,baseline,,0,disabled,0,0,0,,False,,True,False,False,0.0,0.0,1,428.4486770629883,0,balanced
2025-10-10T21:55:41.866909,0.00286102294921875,0.85,2,52,0.00158,True,baseline,,0,disabled,0,0,0,,False,,True,False,False,0.0,0.0,1,437.06488609313965,0,balanced
