timestamp,query,latency_ms,cache_hit,num_results
1759990517.450207,如何提高信用分,647.72,False,5
1759990539.442042,如何提高信用分,494.83,False,10
1759990539.442313,如何提高信用分,496.50,False,10
1759990539.4445372,复利公式,499.84,False,10
1759990540.0652711,复利公式,86.08,False,10
1759990540.065809,复利公式,84.80,False,10
1759990540.0816991,ETF投资,106.12,False,10
1759990541.1764202,ETF投资,46.87,False,10
1759990541.18072,股票分红,58.02,False,10
1759990541.1865668,401k计划,59.10,False,10
1759990542.2718458,401k计划,49.20,False,10
1759990542.272026,ETF投资,52.10,False,10
1759990542.272458,401k计划,47.82,False,10
1759990543.362946,股票分红,53.64,False,10
1759990543.3630211,401k计划,50.18,False,10
1759990543.363175,如何提高信用分,52.47,False,10
1759990544.448329,ETF投资,51.50,False,10
1759990544.448425,股票分红,52.67,False,10
1759990544.4490619,401k计划,54.60,False,10
1759990545.5278442,401k计划,46.75,False,10
1759990545.528002,复利公式,47.92,False,10
1759990545.52806,股票分红,45.65,False,10
1759990546.592917,复利公式,36.76,False,10
1759990546.592989,ETF投资,35.87,False,10
1759990546.595219,如何提高信用分,35.44,False,10
1759990547.6809201,复利公式,39.81,False,10
1759990547.682611,401k计划,40.75,False,10
1759990547.686908,如何提高信用分,44.00,False,10
1759990548.787789,ETF投资,66.41,False,10
1759990548.787842,复利公式,62.76,False,10
1759990548.788446,股票分红,70.52,False,10
1759990549.867635,401k计划,50.85,False,10
1759990549.86975,如何提高信用分,48.97,False,10
1759990549.871,股票分红,49.68,False,10
1759990551.348372,复利公式,399.79,False,10
1759990551.358048,401k计划,386.09,False,10
1759990551.366208,股票分红,450.59,False,10
1759990552.46699,ETF投资,55.93,False,10
1759990552.4692008,401k计划,59.86,False,10
1759990552.469961,复利公式,54.07,False,10
1759990553.5933828,401k计划,76.93,False,10
1759990553.5984352,复利公式,80.01,False,10
1759990553.598486,如何提高信用分,81.06,False,10
1759990554.665165,ETF投资,33.34,False,10
1759990554.6652029,股票分红,35.55,False,10
1759990554.66558,如何提高信用分,36.96,False,10
1759990555.725751,ETF投资,32.52,False,10
1759990555.725806,401k计划,32.94,False,10
1759990555.7258859,ETF投资,33.29,False,10
1759990556.825592,复利公式,67.15,False,10
1759990556.825654,股票分红,66.97,False,10
1759990556.8256829,ETF投资,66.76,False,10
1759990557.9095712,股票分红,55.45,False,10
1759990557.909663,复利公式,54.69,False,10
1759990557.910466,如何提高信用分,53.94,False,10
1759990558.999715,401k计划,52.93,False,10
1759990559.000083,股票分红,56.03,False,10
1759990559.000175,股票分红,57.88,False,10
1759990560.1089332,ETF投资,72.27,False,10
1759990560.108973,股票分红,73.97,False,10
1759990560.110326,如何提高信用分,76.45,False,10
1759990561.1918342,股票分红,49.98,False,10
1759990561.19471,股票分红,51.81,False,10
1759990561.194842,401k计划,48.96,False,10
1759990562.272375,复利公式,42.85,False,10
1759990562.2724328,如何提高信用分,40.26,False,10
1759990562.272494,股票分红,41.94,False,10
1759990563.338325,复利公式,36.09,False,10
1759990563.338379,如何提高信用分,34.35,False,10
1759990563.33896,股票分红,36.01,False,10
1759990564.403031,401k计划,33.98,False,10
1759990564.4032798,如何提高信用分,30.57,False,10
1759990564.403599,ETF投资,31.84,False,10
1759990565.466506,股票分红,37.10,False,10
1759990565.466536,股票分红,39.34,False,10
1759990565.4673102,ETF投资,39.48,False,10
1759990566.645948,股票分红,120.97,False,10
1759990566.6477451,ETF投资,122.13,False,10
1759990566.647987,复利公式,120.31,False,10
1759990567.7267818,ETF投资,38.21,False,10
1759990567.726845,401k计划,40.38,False,10
1759990567.7268999,如何提高信用分,39.13,False,10
1759990568.80107,ETF投资,40.98,False,10
1759990568.8011131,ETF投资,40.18,False,10
1759990568.801219,股票分红,43.55,False,10
1759992074.079629,credit score tips,198.33,False,5
1759992074.157595,retirement planning,69.84,False,5
1759992074.185472,retirement planning,22.80,False,5
1759992075.2183712,tax filing,22.71,False,5
1759992075.236232,tax filing,14.90,False,5
1759992075.2588701,tax filing,19.47,False,5
1759992076.29702,invest stocks,27.93,False,5
1759992076.3145092,invest stocks,14.21,False,5
1759992076.333601,invest stocks,13.74,False,5
